"species","Longitude","Latitude","gbifID"
"Osmunda regalis",7.30429,48.65259,4050742716
"Osmunda regalis",0.98744,49.4046,4050796922
"Osmunda regalis",7.9586,48.8515,4050807198
"Osmunda regalis",-0.33643,48.53768,4050807238
"Osmunda regalis",7.84271,48.87043,4050881442
"Osmunda regalis",4.56951,49.91452,4050915733
"Osmunda regalis",4.79374,49.94014,4050925661
"Osmunda regalis",8.01007,49.01374,4050998313
"Osmunda regalis",8.00106,49.01673,4051008866
"Osmunda regalis",7.83216,48.87294,4051029886
"Osmunda regalis",2.17904,45.09918,4051054261
"Osmunda regalis",2.67977,49.27526,4051073938
"Osmunda regalis",9.20648,42.46295,4051096140
"Osmunda regalis",1.72548,48.7333,4051158388
"Osmunda regalis",-1.05839,48.82493,4051238538
"Osmunda regalis",2.59748,48.39797,4051248389
"Osmunda regalis",3.7228,47.94265,4051259655
"Osmunda regalis",0.6485,43.18238,4051291253
"Osmunda regalis",2.23467,44.73948,4051331282
"Osmunda regalis",7.93751,48.81923,4051340746
"Osmunda regalis",-1.55583,48.19515,4050766758
"Osmunda regalis",-0.89252,49.18901,4050832002
"Osmunda regalis",6.87733,43.46765,4050842893
"Osmunda regalis",6.93912,48.41892,4050883475
"Osmunda regalis",4.79306,49.93869,4050906638
"Osmunda regalis",4.56903,49.91455,4050917598
"Osmunda regalis",0.3606,47.20767,4050959853
"Osmunda regalis",2.18503,44.67612,4050970083
"Osmunda regalis",4.57888,49.95395,4051010252
"Osmunda regalis",2.29814,44.71288,4051081488
"Osmunda regalis",-2.34808,48.50401,4051219483
"Osmunda regalis",1.98907,49.00489,4051740331
"Osmunda regalis",2.42711,47.28339,4051773731
"Osmunda regalis",-1.53561,48.23072,4051827025
"Osmunda regalis",8.00224,49.0162,4051843950
"Osmunda regalis",2.08764,48.78561,4051868764
"Osmunda regalis",6.37807,43.23983,4051884330
"Osmunda regalis",7.21901,48.58472,4051928062
"Osmunda regalis",4.57461,49.95681,4051401853
"Osmunda regalis",7.95705,48.85171,4051462767
"Osmunda regalis",6.28768,47.96096,4051568205
"Osmunda regalis",1.59914,45.52328,4051568300
"Osmunda regalis",1.72104,48.71241,4051576150
"Osmunda regalis",2.29803,44.72188,4051634877
"Osmunda regalis",3.30824,47.19909,4051698330
"Osmunda regalis",9.14699,42.20101,4051718612
"Osmunda regalis",4.57926,49.95394,4051726654
"Osmunda regalis",1.83356,49.48251,4051750394
"Osmunda regalis",6.19767,48.01496,4051751143
"Osmunda regalis",2.28089,44.74095,4051775981
"Osmunda regalis",1.71957,48.73936,4051846234
"Osmunda regalis",4.00624,47.34785,4051862655
"Osmunda regalis",-1.55,48.46204,4051928414
"Osmunda regalis",8.00082,49.01651,4051929035
"Osmunda regalis",8.00172,49.01637,4051929249
"Osmunda regalis",8.00215,49.01608,4051937161
"Osmunda regalis",6.98682,48.43593,4051953397
"Osmunda regalis",4.57671,49.95443,4051961930
"Osmunda regalis",8.0085,49.0146,4051369496
"Osmunda regalis",4.79176,49.93897,4051383059
"Osmunda regalis",-1.06541,48.82354,4051556265
"Osmunda regalis",3.02599,43.60561,4051587692
"Osmunda regalis",7.06042,48.58081,4051658899
"Osmunda regalis",2.57346,48.37549,4051673579
"Osmunda regalis",5.86412,47.15883,4051673792
"Osmunda regalis",-2.13923,48.07959,4051674119
"Osmunda regalis",-3.72988,48.36142,4051747245
"Osmunda regalis",1.70237,48.73604,4051830898
"Osmunda regalis",2.19288,45.01826,4051838493
"Osmunda regalis",5.7841,47.10147,4051862155
"Osmunda regalis",1.71824,48.73885,4051878089
"Osmunda regalis",1.58646,47.57671,4051914187
"Osmunda regalis",4.79339,49.93859,4050726252
"Osmunda regalis",4.79274,49.93874,4051302530
"Osmunda regalis",8.76609,42.25532,4051313972
"Osmunda regalis",-0.44105,48.58724,4050789303
"Osmunda regalis",9.15767,42.48004,4050801468
"Osmunda regalis",1.4317,42.96779,4050814061
"Osmunda regalis",2.88725,49.35017,4050900632
"Osmunda regalis",3.72169,47.94626,4050910659
"Osmunda regalis",2.96282,43.58348,4051004479
"Osmunda regalis",-1.62736,43.417,4051005182
"Osmunda regalis",-1.10071,44.9518,4051047128
"Osmunda regalis",1.72013,48.73715,4051077782
"Osmunda regalis",7.12186,48.44778,4051108245
"Osmunda regalis",7.93878,48.81805,4051115434
"Osmunda regalis",2.19276,45.02726,4051125551
"Osmunda regalis",5.5407,47.17867,4051136841
"Osmunda regalis",-0.46411,48.59159,4051156388
"Osmunda regalis",2.14279,44.97288,4051186532
"Osmunda regalis",6.35419,43.71992,4051199145
"Osmunda regalis",7.30452,48.6709,4051288890
"Osmunda regalis",4.56942,49.91492,4051301045
"Osmunda regalis",0.98727,49.40427,4051312152
"Osmunda regalis",5.56438,47.19057,4051344515
"Osmunda regalis",7.40019,48.9288,4050691450
"Osmunda regalis",-0.87246,43.22633,4050700619
"Osmunda regalis",7.4696,48.95547,4050751520
"Osmunda regalis",5.29989,45.30095,4050773560
"Osmunda regalis",-0.89252,49.18901,4050830200
"Osmunda regalis",4.56917,49.91476,4050854032
"Osmunda regalis",2.18007,45.02717,4050864950
"Osmunda regalis",-0.39749,48.55784,4050951469
"Osmunda regalis",4.56945,49.91478,4050718765
"Osmunda regalis",1.72118,48.71219,4050728439
"Osmunda regalis",1.70293,48.71243,4050729219
"Osmunda regalis",2.25877,44.82966,4050760655
"Osmunda regalis",7.5471,49.06707,4050783077
